fecha,h_inicio,h_fin,km_google_maps,km_didi_app,ingreso_bruto,pedidos_cohete,pedidos_normales,gasto_extra
2025-12-06,13:34,23:56,72.58,120.70,188000,15,0,17000
2025-12-07,12:47,23:25,66.79,122.50,229000,14,3,18000
2025-12-08,11:36,23:18,104.61,135.40,209000,17,0,21000
2025-12-13,17:01,0:12,63.08,92.10,143000,10,1,58000
2025-12-14,12:25,23:14,101.87,139.40,251000,18,0,19000
2025-12-20,12:11,23:51,79.35,151.30,263000,18,2,16000
2025-12-21,11:11,23:55,97.20,144.80,268000,18,0,21500
2025-12-23,18:28,23:06,23.40,49.10,73000,6,2,16000
2025-12-24,12:04,20:35,41.84,73.30,132000,8,2,0
2025-12-25,11:10,23:40,69.85,128.80,302000,12,9,14000
2025-12-27,11:58,20:58,43.61,84.70,185000,9,6,19000
2025-12-28,11:53,22:31,74.51,132.80,283000,13,5,15000
2025-12-31,12:08,20:40,54.72,85.79,125000,10,3,0
2026-01-01,11:18,23:37,56.33,97.50,183000,12,5,0
2026-01-04,12:40,21:27,33.80,80.10,114000,8,7,18000
2026-01-08,17:38,18:27,19.31,25.80,31000,3,0,0
2026-01-10,12:40,22:55,59.55,97.60,147000,12,0,17000
2026-01-11,11:55,0:22,90.60,138.20,244000,18,0,0
2026-01-12,17:01,22:47,53.74,62.80,104000,7,2,20000
2026-01-17,17:01,0:04,38.95,80.80,119000,10,1,16000
2026-01-18,12:12,23:51,79.51,138.40,206500,17,2,21000
2026-01-24,17:26,21:20,18.79,38.00,47500,3,3,18000
2026-01-25,12:06,23:04,71.45,113.00,169500,15,1,0
2026-01-30,17:42,23:57,35.89,55.40,89500,7,2,18000
2026-01-31,12:44,0:02,74.99,125.00,173030,14,1,20000
